longitude,latitude,area,type
-2.589,50.927,4279,graveyard
-3.533,50.699,3863,graveyard
-4.039,55.007,4269,graveyard
-3.987,54.981,6402,graveyard
-1.232,51.745,9518,graveyard
-2.303,51.685,1189,graveyard
-1.208,51.191,1745,graveyard
-4.261,55.212,4833,graveyard
-0.786,50.871,1740,graveyard
-3.124,55.929,1170,graveyard
-0.305,53.781,9390,graveyard
-3.001,53.042,4837,graveyard
-0.807,50.824,2456,graveyard
0.279,51.247,4499,graveyard
-2.696,53.688,21160,graveyard
-3.155,56.306,2488,graveyard
-1.016,51.462,2488,graveyard
-2.839,53.186,9192,graveyard
-1.176,52.948,7055,graveyard
-1.585,54.782,15737,graveyard
-1.623,52.796,3797,graveyard
-1.598,53.819,5702,graveyard
-0.681,51.255,4284,graveyard
-1.232,50.849,8191,graveyard
-3.120,51.014,25387,graveyard
-3.121,51.015,33129,graveyard
-0.517,51.886,6221,graveyard
-3.090,55.945,32196,graveyard
-3.645,50.795,15922,graveyard
-2.820,53.960,6365,graveyard
-0.538,53.233,883,graveyard
-0.552,53.199,7160,graveyard
0.361,51.624,8502,graveyard
-3.151,55.927,52333,graveyard
-1.906,52.485,12561,graveyard
-2.508,54.115,3825,graveyard
-0.505,51.251,2506,graveyard
-4.053,51.076,3992,graveyard
-2.116,51.868,3414,graveyard
-0.181,51.555,6828,graveyard
-2.364,51.792,1427,graveyard
-1.723,52.764,5032,graveyard
-3.652,50.790,9940,graveyard
-2.202,51.833,10624,graveyard
-1.056,51.651,8213,graveyard
1.084,51.073,10175,graveyard
-0.498,51.218,7135,graveyard
-3.591,50.771,4433,graveyard
-0.899,50.780,4977,graveyard
-1.467,52.747,4708,graveyard
-2.300,51.810,5286,graveyard
-2.651,53.389,8606,graveyard
-1.507,52.903,8074,graveyard
0.892,51.170,3623,graveyard
0.897,51.171,2336,graveyard
-0.015,51.564,7277,graveyard
-5.812,57.445,4880,graveyard
-0.574,51.234,966,graveyard
