name	easting	northing
Rubha Dearg	121507	653574
Sgeirean Dearga	139105	644526
Slochd Dearg	129151	647626
Rubha na Dearg Sgeir	136793	690456
Loch Dearg an Sgòrra	140868	652036
Sgeirean Dearga	145816	647138
Dearg Sgeir	162812	645845
Loch Dearg	178752	674392
Creagan Dearg	174042	687411
Bearlach Dearg	193466	651243
Dearg Choirein	198781	642027
Rubha Dearg-uillt	182167	646293
Port Dearg	203018	620588
Sròn Dearg	209420	676513
Eilean Dearg	200818	677098
Tigh Dearg Road	223525	680458
Eilean nan Deargannan	235636	698507
