from,to,volume
CT,HI,114
CT,ID,1905
CT,IL,1911
CT,IN,722
CT,IA,23
CT,KS,322
CT,KY,327
CT,LA,584
CT,ME,1734
CT,MD,1890
CT,MA,14224
CT,MI,1388
CT,MN,342
CT,MS,0
CT,MO,361
CT,MT,323
CT,NE,348
CT,NV,198
CT,NH,1298
CT,NJ,2187
CT,NM,55
CT,NY,14420
CT,NC,2702
CT,ND,0
CT,OH,2510
CT,OK,0
CT,OR,157
CT,PA,3891
CT,RI,4791
CT,SC,6800
CT,SD,0
CT,TN,1784
CT,TX,3762
CT,UT,720
CT,VT,2251
CT,VA,3254
CT,WA,1785
CT,WV,639
CT,WI,614
CT,WY,12
DE,AL,826
DE,AK,0
DE,AZ,49
DE,AR,126
DE,CA,1143
DE,CO,190
DE,CT,1015
DE,DE,-1
DE,DC,182
DE,FL,4124
DE,GA,520
DE,HI,52
DE,ID,0
DE,IL,9
DE,IN,868
DE,IA,0
DE,KS,0
DE,KY,389
DE,LA,53
DE,ME,29
DE,MD,5811
DE,MA,887
DE,MI,86
DE,MN,0
DE,MS,0
DE,MO,235
DE,MT,0
DE,NE,0
DE,NV,98
DE,NH,238
DE,NJ,1720
DE,NM,0
DE,NY,1328
DE,NC,1988
DE,ND,0
DE,OH,996
DE,OK,0
DE,OR,0
DE,PA,5999
DE,RI,0
DE,SC,978
DE,SD,0
DE,TN,53
DE,TX,1275
DE,UT,61
DE,VT,0
DE,VA,1306
DE,WA,131
DE,WV,419
DE,WI,211
DE,WY,0
DC,AL,0
DC,AK,74
DC,AZ,26
DC,AR,0
DC,CA,5063
DC,CO,1119
DC,CT,506
DC,DE,136
DC,DC,-1
DC,FL,983
DC,GA,571
DC,HI,768
DC,ID,0
DC,IL,1020
DC,IN,32
DC,IA,382
DC,KS,350
DC,KY,175
DC,LA,196
DC,ME,235
DC,MD,21093
DC,MA,1557
DC,MI,256
DC,MN,141
DC,MS,99
DC,MO,461
DC,MT,0
DC,NE,100
DC,NV,43
DC,NH,95
DC,NJ,1187
DC,NM,30
DC,NY,2802
DC,NC,2031
DC,ND,53
DC,OH,789
DC,OK,0
DC,OR,226
DC,PA,1336
DC,RI,45
DC,SC,743
DC,SD,0
DC,TN,203
DC,TX,1059
DC,UT,149
DC,VT,134
DC,VA,11821
DC,WA,1837
DC,WV,328
DC,WI,109
DC,WY,0
FL,AL,14298
FL,AK,1172
FL,AZ,6701
FL,AR,3966
FL,CA,22464
FL,CO,14017
FL,CT,4563
FL,DE,1122
FL,DC,1789
FL,FL,-1
FL,GA,51020
FL,HI,3085
FL,ID,1406
FL,IL,13561
FL,IN,8650
FL,IA,1931
FL,KS,3991
FL,KY,7426
FL,LA,2878
FL,ME,2082
FL,MD,11989
