easting,northing,density
310000,90000,0.0023310024
390000,350000,0.005313496
610000,260000,0.004901961
360000,860000,0.004784689
630000,150000,0.008438818
450000,370000,0.004137931
510000,460000,0.007022472
500000,210000,0.0073937154
590000,310000,0.0031347962
480000,290000,0.002570694
350000,1000000,0.0038461538
410000,500000,0.0021645022
570000,210000,0.0023809525
360000,660000,0.009615385
390000,150000,0.003164557
550000,190000,0.010956903
350000,420000,0.0014301037
320000,1020000,0.0048076925
440000,560000,0.007575758
320000,500000,0.029411765
520000,320000,0.006203474
270000,660000,0.004201681
360000,230000,0.010050251
320000,930000,0.0076923077
330000,740000,0.014084507
260000,840000,0.004895961
520000,270000,0.0011947431
530000,130000,0.00407332
380000,340000,0.00456621
620000,140000,0.012110727
380000,270000,0.0051057623
430000,110000,0.013289036
440000,1110000,0.008403362
550000,180000,0.004497751
520000,330000,0.0049261083
470000,490000,0.008264462
450000,1200000,0.003144654
450000,440000,0.004702194
420000,520000,0.007800312
300000,110000,0.006289308
530000,200000,0.0020547945
480000,360000,0.002793296
280000,190000,0.0021367522
490000,230000,0.0015267176
230000,650000,0.0046296297
400000,560000,0.0027247956
460000,310000,0.0080515295
450000,160000,0.0038986355
180000,720000,0.007936508
150000,20000,0.00862069
390000,790000,0.010380623
420000,240000,0.012269938
260000,140000,0.0067340066
160000,10000,0.05625
240000,50000,0.004958047
340000,480000,0.0026954177
450000,90000,0.0066225166
600000,300000,0.0026385225
440000,290000,0.0023547881
250000,330000,0.005376344
370000,740000,0.05263158
220000,210000,0.008064516
330000,160000,0.002722323
430000,240000,0.004237288
630000,240000,0.014492754
370000,370000,0.0017921147
440000,190000,0.0028612304
210000,50000,0.003267974
530000,160000,0.0052310373
420000,130000,0.009009009
360000,420000,0.0059010442
380000,480000,0.012820513
440000,350000,0.009963294
260000,180000,0.003875969
510000,100000,0.0044275774
510000,170000,0.0026852847
360000,260000,0.0064935065
550000,310000,0.003215434
260000,340000,0.006134969
540000,270000,0.0054054055
250000,40000,0.008333334
520000,210000,0.0038729666
600000,140000,0.0023474179
460000,340000,0.00795756
310000,960000,0.0057971017
350000,310000,0.007824726
390000,280000,0.0079794815
290000,280000,0.007246377
580000,330000,0.009708738
420000,280000,0.0038610038
610000,330000,0.005524862
550000,230000,0.005235602
160000,40000,0.0015174507
420000,440000,0.004102564
240000,120000,0.0015037594
450000,380000,0.010752688
380000,330000,0.0020408162
190000,70000,0.018918918
440000,430000,0.004519774
230000,320000,0.01923077
360000,110000,0.005597015
250000,380000,0.008695652
380000,170000,0.0056497175
560000,180000,9.624639E-4
430000,390000,0.0029171528
290000,590000,0.009345794
370000,220000,0.0124223605
460000,490000,0.008547009
400000,80000,0.017316017
600000,290000,0.0020618557
540000,120000,0.001572327
240000,580000,0.016393442
400000,530000,0.042944785
440000,1120000,0.0037037036
270000,840000,0.0039525693
290000,130000,0.008230452
410000,490000,0.006289308
300000,290000,0.0055555557
350000,860000,0.010152284
220000,680000,0.0033333334
330000,720000,0.0043290043
360000,810000,0.009090909
230000,640000,0.018823529
390000,130000,0.004854369
330000,550000,0.0028011205
230000,50000,0.022292994
590000,130000,0.009433962
350000,700000,0.008064516
130000,640000,0.0035460992
480000,410000,0.0072072074
430000,1190000,0.006024096
350000,1050000,0.039215688
380000,410000,0.00625
310000,250000,0.036363635
420000,530000,0.0049937577
340000,510000,0.03125
350000,150000,0.0027100272
610000,250000,0.005449591
290000,840000,0.019607844
300000,850000,0.011627907
480000,240000,0.0019120459
400000,380000,0.0048076925
330000,400000,0.006352087
510000,420000,0.009746589
470000,300000,0.008510638
260000,580000,0.006993007
320000,360000,0.0030007502
470000,130000,0.0014992504
520000,360000,0.006042296
360000,250000,0.0054054055
380000,570000,0.006451613
340000,360000,8.417508E-4
280000,650000,0.0058411215
420000,120000,0.017994858
220000,120000,0.0116959065
540000,280000,0.008510638
500000,310000,0.00295858
430000,250000,0.0053050397
520000,200000,0.008247423
480000,390000,0.0055555557
460000,510000,0.004255319
370000,380000,0.0060362173
480000,400000,0.0014025245
330000,150000,0.0029069767
210000,60000,0.013100437
390000,270000,0.010860484
450000,140000,0.006535948
350000,80000,0.02247191
610000,340000,0.0049751243
530000,330000,0.0053475937
650000,300000,0.0032432433
450000,390000,0.007022472
410000,180000,0.0052122115
530000,150000,0.004743083
380000,320000,0.006423983
510000,260000,0.0035906644
320000,300000,0.015267176
510000,160000,0.0026819922
560000,190000,0.003267974
330000,860000,0.006666667
450000,530000,0.006666667
590000,270000,0.0025575447
370000,770000,0.018181818
350000,710000,0.004761905
540000,130000,0.0066815144
630000,250000,0.0025062656
310000,640000,0.00877193
420000,270000,0.0062176166
360000,410000,0.0028653296
360000,100000,0.005037783
490000,200000,0.0028873917
380000,470000,0.009259259
270000,700000,0.0038461538
500000,450000,0.004016064
360000,800000,0.010638298
